1. (ID: 1021, Score: 752)
2. (ID: 2085, Score: 742)
3. (ID: 2088, Score: 735)
4. (ID: 4062, Score: 731)
5. (ID: 4001, Score: 718)
6. (ID: 4040, Score: 700)
7. (ID: 4004, Score: 694)
8. (ID: 4058, Score: 692)
9. (ID: 4046, Score: 688)
10. (ID: 83, Score: 678)
11. (ID: 2005, Score: 677)
12. (ID: 2082, Score: 675)
13. (ID: 2014, Score: 673)
14. (ID: 7, Score: 673)
15. (ID: 3079, Score: 668)
16. (ID: 1037, Score: 664)
17. (ID: 25, Score: 664)
18. (ID: 3047, Score: 655)
19. (ID: 56, Score: 653)
20. (ID: 2075, Score: 652)
21. (ID: 1076, Score: 645)
22. (ID: 1056, Score: 644)
23. (ID: 2073, Score: 641)
24. (ID: 2041, Score: 637)
25. (ID: 4014, Score: 635)
26. (ID: 84, Score: 634)
27. (ID: 2040, Score: 633)
28. (ID: 2026, Score: 630)
29. (ID: 4030, Score: 628)
30. (ID: 55, Score: 627)
31. (ID: 11, Score: 624)
32. (ID: 3062, Score: 623)
33. (ID: 3040, Score: 618)
34. (ID: 3013, Score: 617)
35. (ID: 1049, Score: 613)
36. (ID: 1023, Score: 613)
37. (ID: 3064, Score: 612)
38. (ID: 4012, Score: 610)
39. (ID: 3093, Score: 610)
40. (ID: 3006, Score: 610)
41. (ID: 1083, Score: 610)
42. (ID: 3035, Score: 609)
43. (ID: 82, Score: 609)
44. (ID: 2090, Score: 607)
45. (ID: 2008, Score: 607)
46. (ID: 4029, Score: 605)
47. (ID: 1038, Score: 605)
48. (ID: 3070, Score: 604)
49. (ID: 74, Score: 601)
50. (ID: 2016, Score: 599)
51. (ID: 1032, Score: 599)
52. (ID: 4059, Score: 598)
53. (ID: 27, Score: 597)
54. (ID: 3050, Score: 596)
55. (ID: 3026, Score: 596)
56. (ID: 3018, Score: 596)
57. (ID: 3052, Score: 594)
58. (ID: 3033, Score: 594)
59. (ID: 15, Score: 592)
60. (ID: 4032, Score: 591)
61. (ID: 4045, Score: 591)
62. (ID: 1043, Score: 590)
63. (ID: 4069, Score: 588)
64. (ID: 4048, Score: 587)
